"Cell Type","ids","object_id","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
9,50807,0,0.98706,0.0033428,0.0033428,0.01135
9,50808,0,0.98685,0.0037992,0.0037992,0.010881
9,50809,0,0.98665,0.00424,0.00424,0.010425
9,50810,0,0.98646,0.0046654,0.0046654,0.0099837
9,50811,0,0.98627,0.0050758,0.0050758,0.009555
9,50812,0,0.98608,0.0054716,0.0054716,0.0091391
9,50813,0,0.9859,0.0058532,0.0058532,0.0087355
9,50814,0,0.98573,0.0062208,0.0062208,0.0083438
9,50815,0,0.98556,0.0065748,0.0065748,0.0079637
9,50816,0,0.98539,0.0069155,0.0069155,0.0075948
9,50817,0,0.98523,0.0072434,0.0072434,0.0072368
9,50818,0,0.98508,0.0075586,0.0075586,0.0068894
9,50819,0,0.98493,0.0078616,0.0078616,0.0065522
9,50820,0,0.98478,0.0081525,0.0081525,0.006225
9,50821,0,0.98464,0.0084318,0.0084318,0.0059075
9,50822,0,0.9845,0.0086997,0.0086997,0.0055994
9,50823,0,0.98437,0.0089564,0.0089564,0.0053003
9,50824,0,0.98424,0.0092024,0.0092024,0.00501
9,50825,0,0.98411,0.0094378,0.0094378,0.0047283
9,50826,0,0.98399,0.0096629,0.0096629,0.0044549
9,50827,0,0.98388,0.0098779,0.0098779,0.0041896
9,50828,0,0.98377,0.010083,0.010083,0.0039321
9,50829,0,0.98366,0.010279,0.010279,0.0036821
9,50830,0,0.98355,0.010466,0.010466,0.0034395
9,50831,0,0.98345,0.010643,0.010643,0.0032041
9,50832,0,0.98336,0.010812,0.010812,0.0029755
9,50833,0,0.98327,0.010972,0.010972,0.0027536
9,50834,0,0.98318,0.011124,0.011124,0.0025382
9,50835,0,0.98309,0.011267,0.011267,0.0023291
9,50836,0,0.98301,0.011403,0.011403,0.0021262
9,50837,0,0.98293,0.011531,0.011531,0.0019291
9,50838,0,0.98286,0.011651,0.011651,0.0017377
9,50839,0,0.98278,0.011764,0.011764,0.0015519
9,50840,0,0.98271,0.01187,0.01187,0.0013714
9,50841,0,0.98265,0.011969,0.011969,0.0011961
9,50842,0,0.98259,0.012061,0.012061,0.0010259
9,50843,0,0.98253,0.012147,0.012147,0.0008605
9,50844,0,0.98247,0.012226,0.012226,0.00069979
9,50845,0,0.98242,0.012299,0.012299,0.00054363
9,50846,0,0.98237,0.012366,0.012366,0.00039184
9,50847,0,0.98232,0.012427,0.012427,0.00024429
9,50848,0,0.98227,0.012482,0.012482,0.00010082
9,50849,0,0.98223,0.012531,0.012531,-3.8713e-05
9,50850,0,0.98219,0.012575,0.012575,-0.00017445
9,50851,0,0.98215,0.012614,0.012614,-0.00030652
9,50852,0,0.98212,0.012647,0.012647,-0.00043508
9,50853,0,0.98208,0.012675,0.012675,-0.00056024
9,50854,0,0.98205,0.012698,0.012698,-0.00068215
9,50855,0,0.98202,0.012717,0.012717,-0.00080093
9,50856,0,0.982,0.01273,0.01273,-0.00091671
9,50857,0,0.98197,0.012739,0.012739,-0.0010296
9,50858,0,0.98195,0.012744,0.012744,-0.0011397
9,50859,0,0.98193,0.012744,0.012744,-0.0012472
9,50860,0,0.98191,0.01274,0.01274,-0.0013522
9,50861,0,0.98189,0.012732,0.012732,-0.0014548
9,50862,0,0.98188,0.012719,0.012719,-0.0015551
9,50863,0,0.98187,0.012703,0.012703,-0.0016532
9,50864,0,0.98186,0.012683,0.012683,-0.0017492
9,50865,0,0.98185,0.012659,0.012659,-0.0018432
9,50866,0,0.98184,0.012631,0.012631,-0.0019354
9,50867,0,0.98183,0.012599,0.012599,-0.0020259
9,50868,0,0.98183,0.012564,0.012564,-0.0021147
9,50869,0,0.98182,0.012526,0.012526,-0.0022019
9,50870,0,0.98182,0.012484,0.012484,-0.0022877
9,50871,0,0.98182,0.012439,0.012439,-0.0023722
9,50872,0,0.98182,0.01239,0.01239,-0.0024553
9,50873,0,0.98183,0.012338,0.012338,-0.0025373
9,50874,0,0.98183,0.012283,0.012283,-0.0026183
9,50875,0,0.98184,0.012225,0.012225,-0.0026983
9,50876,0,0.98184,0.012164,0.012164,-0.0027773
9,50877,0,0.98185,0.0121,0.0121,-0.0028556
9,50878,0,0.98186,0.012033,0.012033,-0.0029332
9,50879,0,0.98187,0.011963,0.011963,-0.0030101
9,50880,0,0.98188,0.01189,0.01189,-0.0030865
9,50881,0,0.98189,0.011814,0.011814,-0.0031624
9,50882,0,0.98191,0.011736,0.011736,-0.003238
9,50883,0,0.98192,0.011655,0.011655,-0.0033132
9,50884,0,0.98194,0.011571,0.011571,-0.0033882
9,50885,0,0.98195,0.011484,0.011484,-0.0034631
9,50886,0,0.98197,0.011395,0.011395,-0.0035379
9,50887,0,0.98199,0.011303,0.011303,-0.0036128
9,50888,0,0.98201,0.011209,0.011209,-0.0036876
9,50889,0,0.98203,0.011112,0.011112,-0.0037627
9,50890,0,0.98205,0.011013,0.011013,-0.0038379
9,50891,0,0.98207,0.010911,0.010911,-0.0039135
9,50892,0,0.98209,0.010806,0.010806,-0.0039893
9,50893,0,0.98212,0.010699,0.010699,-0.0040656
9,50894,0,0.98214,0.01059,0.01059,-0.0041423
9,50895,0,0.98217,0.010478,0.010478,-0.0042196
9,50896,0,0.98219,0.010363,0.010363,-0.0042974
9,50897,0,0.98222,0.010247,0.010247,-0.0043759
9,50898,0,0.98225,0.010127,0.010127,-0.004455
9,50899,0,0.98228,0.010006,0.010006,-0.0045349
9,50900,0,0.98231,0.0098815,0.0098815,-0.0046156
9,50901,0,0.98234,0.009755,0.009755,-0.004697
9,50902,0,0.98237,0.009626,0.009626,-0.0047794
9,50903,0,0.9824,0.0094946,0.0094946,-0.0048626
9,50904,0,0.98243,0.0093608,0.0093608,-0.0049467
