"Points:0","Points:1","Points:2","disp:0","disp:1","ids"
0.27711,0.0037831,0,0.012173,0.0037831,267
0.27711,0.0057459,0,0.012169,0.0037539,268
0.27919,0.0037868,0,0.012261,0.0037868,269
0.27919,0.0057495,0,0.012257,0.0037575,270
0.28127,0.0037903,0,0.012348,0.0037903,271
0.28127,0.005753,0,0.012345,0.003761,272
0.28335,0.0037937,0,0.012436,0.0037937,273
0.28335,0.0057565,0,0.012433,0.0037644,274
0.28543,0.0037971,0,0.012524,0.0037971,275
0.28543,0.0057598,0,0.012521,0.0037678,276
0.28751,0.0038004,0,0.012612,0.0038004,277
0.28751,0.0057631,0,0.012609,0.003771,278
0.28959,0.0038036,0,0.0127,0.0038036,279
0.28959,0.0057662,0,0.012697,0.0037742,280
0.29167,0.0038067,0,0.012789,0.0038067,281
0.29167,0.0057693,0,0.012785,0.0037773,282
0.29375,0.0038097,0,0.012877,0.0038097,283
0.29375,0.0057723,0,0.012874,0.0037803,284
0.29583,0.0038127,0,0.012965,0.0038127,285
0.29583,0.0057753,0,0.012962,0.0037832,286
0.29791,0.0038156,0,0.013053,0.0038156,287
0.29791,0.0057781,0,0.01305,0.0037861,288
0.29999,0.0038184,0,0.013142,0.0038184,289
0.29999,0.0057809,0,0.013139,0.0037889,290
0.30207,0.0038211,0,0.01323,0.0038211,291
0.30207,0.0057836,0,0.013227,0.0037916,292
0.30416,0.0038238,0,0.013319,0.0038238,293
0.30415,0.0057863,0,0.013316,0.0037942,294
0.30624,0.0038264,0,0.013407,0.0038264,295
0.30623,0.0057889,0,0.013405,0.0037968,296
0.30832,0.0038289,0,0.013496,0.0038289,297
0.30831,0.0057914,0,0.013493,0.0037993,298
0.3104,0.0038314,0,0.013585,0.0038314,299
0.31039,0.0057938,0,0.013582,0.0038018,300
0.31248,0.0038338,0,0.013673,0.0038338,301
0.31248,0.0057962,0,0.013671,0.0038042,302
0.31456,0.0038362,0,0.013762,0.0038362,303
0.31456,0.0057986,0,0.01376,0.0038065,304
0.31664,0.0038384,0,0.013851,0.0038384,305
0.31664,0.0058008,0,0.013849,0.0038088,306
0.31872,0.0038407,0,0.01394,0.0038407,307
0.31872,0.0058031,0,0.013938,0.003811,308
0.3208,0.0038429,0,0.014029,0.0038429,309
0.3208,0.0058052,0,0.014027,0.0038132,310
0.32288,0.003845,0,0.014118,0.003845,311
0.32288,0.0058073,0,0.014116,0.0038153,312
0.32496,0.0038471,0,0.014207,0.0038471,313
0.32496,0.0058094,0,0.014205,0.0038174,314
0.32705,0.0038491,0,0.014297,0.0038491,315
0.32704,0.0058114,0,0.014295,0.0038194,316
0.32913,0.0038511,0,0.014386,0.0038511,317
0.32912,0.0058134,0,0.014384,0.0038214,318
0.33121,0.0038531,0,0.014475,0.0038531,319
0.33121,0.0058153,0,0.014473,0.0038233,320
0.33329,0.003855,0,0.014565,0.003855,321
0.33329,0.0058172,0,0.014563,0.0038252,322
0.33537,0.0038568,0,0.014654,0.0038568,323
0.33537,0.005819,0,0.014652,0.003827,324
0.33745,0.0038587,0,0.014743,0.0038587,325
0.33745,0.0058208,0,0.014742,0.0038288,326
0.33953,0.0038604,0,0.014833,0.0038604,327
0.33953,0.0058226,0,0.014831,0.0038306,328
0.34162,0.0038622,0,0.014923,0.0038622,329
0.34161,0.0058243,0,0.014921,0.0038323,330
0.3437,0.0038639,0,0.015012,0.0038639,331
0.3437,0.005826,0,0.015011,0.003834,332
0.34578,0.0038656,0,0.015102,0.0038656,333
0.34578,0.0058277,0,0.0151,0.0038357,334
0.34786,0.0038672,0,0.015192,0.0038672,335
0.34786,0.0058293,0,0.01519,0.0038373,336
0.34994,0.0038688,0,0.015282,0.0038688,337
0.34994,0.0058309,0,0.01528,0.0038389,338
0.35202,0.0038704,0,0.015371,0.0038704,339
