"disp:0","disp:1","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
0.028965,-0.0001731,0.24619,-0.19463,0,1.0001,0.0019312,0.0019312,0.25541
0.029117,-0.00015856,0.25,-0.19206,0,1,0.003356,0.003356,0.25702
0.028931,-0.00019333,0.24618,-0.18926,0,1.0001,0.0021459,0.0021459,0.25211
0.029084,-0.00017614,0.25,-0.18695,0,1.0001,0.0036613,0.0036613,0.2535
0.028897,-0.00021315,0.24617,-0.18421,0,1.0001,0.0023457,0.0023457,0.24861
0.029047,-0.00019556,0.25,-0.18158,0,1,0.0039409,0.0039409,0.24965
0.028858,-0.00023485,0.24615,-0.17892,0,1.0001,0.002545,0.002545,0.24481
0.029006,-0.00021632,0.25,-0.17613,0,1,0.0042616,0.0042616,0.24559
0.028816,-0.00025788,0.24614,-0.17356,0,1.0001,0.0027706,0.0027706,0.2408
0.028966,-0.00023671,0.25,-0.17104,0,1,0.004565,0.004565,0.24137
0.028774,-0.00028041,0.24613,-0.16853,0,1.0001,0.0029851,0.0029851,0.23663
0.028921,-0.00025936,0.25,-0.16567,0,1,0.0048611,0.0048611,0.23691
0.028728,-0.00030522,0.24611,-0.16324,0,1.0001,0.0032033,0.0032033,0.23225
0.028875,-0.00028249,0.25,-0.16046,0,1,0.005178,0.005178,0.23227
0.02868,-0.00033043,0.2461,-0.15811,0,1.0001,0.0034323,0.0034323,0.22768
0.028826,-0.0003071,0.25,-0.15518,0,1,0.0054735,0.0054735,0.22737
0.02863,-0.00035709,0.24608,-0.15291,0,1.0001,0.0036533,0.0036533,0.22288
0.028772,-0.00033419,0.25,-0.14967,0,0.99999,0.0057724,0.0057724,0.22215
0.028576,-0.0003862,0.24607,-0.14748,0,1.0001,0.0038887,0.0038887,0.21779
0.028716,-0.00036275,0.25,-0.14415,0,0.99997,0.0060828,0.0060828,0.21676
0.028519,-0.0004167,0.24606,-0.14205,0,1.0001,0.0041401,0.0041401,0.21253
0.028659,-0.000392,0.25,-0.13877,0,1,0.0064035,0.0064035,0.2114
0.028461,-0.00044778,0.24604,-0.13675,0,1.0001,0.0043925,0.0043925,0.20727
0.028604,-0.00042096,0.25,-0.13369,0,1,0.0066982,0.0066982,0.20598
0.028405,-0.00047845,0.24603,-0.13173,0,1.0001,0.0046283,0.0046283,0.20197
0.028542,-0.00045344,0.25,-0.12824,0,0.99997,0.0069819,0.0069819,0.20032
0.028342,-0.00051262,0.24602,-0.12636,0,1.0001,0.0048717,0.0048717,0.19647
0.02848,-0.00048699,0.25,-0.12287,0,0.99998,0.0072917,0.0072917,0.19462
0.028279,-0.00054773,0.246,-0.12107,0,1.0001,0.0051325,0.0051325,0.1909
0.028419,-0.00052028,0.25,-0.11776,0,0.99997,0.0075757,0.0075757,0.18891
0.028217,-0.00058248,0.24599,-0.11603,0,1.0001,0.0053796,0.0053796,0.18534
0.028353,-0.00055679,0.25,-0.11239,0,0.99997,0.0078637,0.0078637,0.18317
0.028151,-0.00062036,0.24598,-0.11074,0,1.0001,0.005632,0.005632,0.17975
0.02829,-0.00059213,0.25,-0.10739,0,0.99998,0.0081429,0.0081429,0.17741
0.028088,-0.00065698,0.24596,-0.10581,0,1.0001,0.0058808,0.0058808,0.17414
0.028221,-0.00063164,0.25,-0.10202,0,0.99995,0.0084093,0.0084093,0.17156
0.028018,-0.00069767,0.24595,-0.10052,0,1.0001,0.006131,0.006131,0.16846
0.028154,-0.0006708,0.25,-0.0969,0,0.99996,0.0086921,0.0086921,0.16579
0.027951,-0.00073791,0.24594,-0.09547,0,1.0001,0.0063901,0.0063901,0.16283
0.028087,-0.00071027,0.25,-0.091914,0,0.99997,0.008951,0.008951,0.16007
0.027884,-0.00077839,0.24592,-0.090549,0,1.0001,0.0066345,0.0066345,0.15726
0.028016,-0.00075311,0.25,-0.086688,0,0.99996,0.0092108,0.0092108,0.15425
0.027813,-0.00082212,0.24591,-0.085397,0,1.0001,0.0068836,0.0068836,0.15161
0.027945,-0.00079723,0.25,-0.081485,0,0.99996,0.0094694,0.0094694,0.1483
0.027741,-0.00086703,0.24589,-0.080268,0,1.0001,0.0071365,0.0071365,0.14583
0.027868,-0.00084547,0.25,-0.075985,0,0.99994,0.0097219,0.0097219,0.14222
0.027664,-0.00091593,0.24588,-0.074852,0,1.0001,0.0073923,0.0073923,0.13992
0.02779,-0.00089561,0.25,-0.070457,0,0.99992,0.0099751,0.0099751,0.13608
0.027585,-0.00096661,0.24587,-0.069409,0,1.0001,0.0076534,0.0076534,0.13397
0.027711,-0.00094725,0.25,-0.064943,0,0.99991,0.010219,0.010219,0.13007
0.027506,-0.0010187,0.24585,-0.063978,0,1.0001,0.0079105,0.0079105,0.12813
0.027634,-0.0009986,0.25,-0.059621,0,0.99991,0.010454,0.010454,0.12428
